company_a,company_b,relationship_pattern,confidence,month_overlap_count,month_overlap_jaccard,shared_partner_count,shared_partner_jaccard,gap_months,a_first_month,a_last_month,b_first_month,b_last_month,a_active_months,b_active_months,a_temporal_pattern,b_temporal_pattern,overlap_month_sample
-1556,Lake Tanganyika  CJSC Carriers,relay,1.0,0,0.0,2,1.0,0,2029-06,2029-12,2030-01,2030-09,6,5,short_term,short_term,
-739,Baltic Sprat Oyj Anchor,substitution,1.0,6,0.1364,2,0.5,,2030-12,2032-06,2028-02,2033-05,15,35,stable,general,2030-12;2031-01;2031-02;2031-03;2031-04;2031-07
-1884,-9992,substitution,1.0,2,0.1333,6,0.5385,,2028-06,2029-03,2028-01,2028-09,10,7,short_term,short_term,2028-06;2028-09
-1835,-2785,substitution,1.0,2,0.0645,2,0.4615,,2028-06,2030-11,2028-01,2033-01,8,25,general,general,2030-09;2030-11
S.A. de C.V. AG,Skeleton Coastline SE Transportation,substitution,1.0,12,0.169,4,0.4583,,2028-02,2034-12,2029-11,2032-11,52,31,stable,stable,2030-03;2030-04;2030-05;2030-06;2030-08;2031-01
-1024,-1954,substitution,1.0,3,0.1,2,0.4286,,2030-04,2032-11,2028-01,2031-05,17,16,periodic,general,2030-10;2030-11;2031-02
-1024,-3782,substitution,1.0,2,0.0769,3,0.5714,,2030-04,2032-11,2031-04,2032-02,17,11,periodic,short_term,2031-07;2032-02
-1024,-5280,substitution,1.0,2,0.0714,3,0.6667,,2030-04,2032-11,2030-12,2032-02,17,13,periodic,stable,2031-07;2032-02
-1954,-3782,substitution,1.0,2,0.08,3,0.8,,2028-01,2031-05,2031-04,2032-02,16,11,general,short_term,2031-04;2031-05
-1954,-3828,substitution,1.0,2,0.0541,3,0.8,,2028-01,2031-05,2030-05,2033-03,16,23,general,stable,2030-11;2031-05
-1954,-5280,substitution,1.0,3,0.1154,2,0.6,,2028-01,2031-05,2030-12,2032-02,16,13,general,stable,2031-03;2031-04;2031-05
-1954,-5282,substitution,1.0,2,0.0488,3,0.6667,,2028-01,2031-05,2029-04,2033-02,16,27,general,periodic,2030-10;2030-11
-3782,-5282,substitution,1.0,2,0.0556,4,0.8333,,2031-04,2032-02,2029-04,2033-02,11,27,short_term,periodic,2031-09;2032-01
-3782,-955,substitution,1.0,4,0.1053,4,0.8333,,2031-04,2032-02,2028-03,2032-10,11,31,short_term,periodic,2031-04;2031-05;2031-09;2032-01
-5280,-5282,substitution,1.0,2,0.0526,3,0.6667,,2030-12,2032-02,2029-04,2033-02,13,27,stable,periodic,2031-09;2032-01
-5280,-955,substitution,1.0,6,0.1579,3,0.6667,,2030-12,2032-02,2028-03,2032-10,13,31,stable,periodic,2030-12;2031-03;2031-04;2031-05;2031-09;2032-01
-1954,-5319,substitution,1.0,3,0.1071,2,0.6,,2028-01,2031-05,2030-12,2032-10,16,15,general,stable,2031-01;2031-02;2031-03
-3782,-5319,substitution,1.0,3,0.1304,3,0.8,,2031-04,2032-02,2030-12,2032-10,11,15,short_term,stable,2031-06;2031-12;2032-02
-5319,-955,substitution,1.0,7,0.1795,3,0.6667,,2030-12,2032-10,2028-03,2032-10,15,31,stable,periodic,2030-12;2031-01;2031-02;2031-03;2032-05;2032-06
-1248,-3336,substitution,1.0,5,0.1724,3,0.6,,2028-10,2030-08,2028-12,2031-03,6,28,general,stable,2028-12;2029-01;2029-02;2029-07;2030-08
-1556,-1899,substitution,1.0,1,0.0833,2,1.0,,2029-06,2029-12,2028-07,2029-11,6,7,short_term,general,2029-11
