predecessor,successor,predecessor_last_month,gap_months_to_2034,shared_partner_count,shared_partner_sample,predecessor_pattern,successor_pattern
Orange River Mouth   &,Fresh Limited Liability Company,2031-11,26,142,1 Ltd. Corporation Transport;3 Logistics Tom yum;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution,periodic,stable
Portuguese Cuttle GmbH Freight ,Fresh Limited Liability Company,2031-01,36,142,-4;-54;-6;3 Oceanography ОАО Marine life,stable,stable
Portuguese Cuttle GmbH Freight ,Zambezi Gorge  N.V. Transport,2031-01,36,135,-4;-54;3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology,stable,stable
Orange River Mouth   &,Zambezi Gorge  N.V. Transport,2031-11,26,124,1 Ltd. Corporation Transport;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Adriatic Tuna Company Distribution,periodic,stable
Seashell s  SRL Consulting,Mar y Luna Sagl,2029-12,49,117,-11292;-14475;-1457;-1791,stable,stable
Seashell s  SRL Consulting,Saltwater Symphony S.A. de C.V.,2029-12,49,115,-11292;-14475;-1457;-1791,stable,stable
Konkan Coast  SE Marine biology,hǎi dǎn Corporation Wharf,2030-09,40,113,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;Aqua Azul Trawler GmbH Logistics;AquaBite Beach ОАО Shipping,stable,stable
Gulf of Guinea   Corporation,Fresh Limited Liability Company,2032-10,15,107,-13796;-13802;-13812;-6,general,stable
Konkan Coast  SE Marine biology,Caracola del Sol Services,2030-09,40,104,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;Aqua Azul Trawler GmbH Logistics;AquaBite Beach ОАО Shipping,stable,stable
Portuguese Cuttle GmbH Freight ,Barents Sea Cod CJSC Export,2031-01,36,103,3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;3 Trawler Corp Distribution;Ancla de Oro Kga Import,stable,stable
Portuguese Cuttle GmbH Freight ,Caracola del Este Corporation Express,2031-01,36,101,-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Adriatic Tuna Pic Express,stable,stable
Konkan Coast  SE Marine biology,Panope Limited Liability Company,2030-09,40,99,Ancla del Mar Inc;Angrapa GmbH & Co. KG Overseas;Aqua Azul Trawler GmbH Logistics;AquaBite Beach ОАО Shipping,stable,stable
Portuguese Cuttle GmbH Freight ,BlueWaterBites GmbH & Co. KG Export,2031-01,36,96,-4;-54;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution,stable,stable
Orange River Mouth   &,Barents Sea Cod CJSC Export,2031-11,26,94,1 Ltd. Corporation Transport;3 Oceanography ОАО Marine life;3 Trawler Corp Distribution;Agua S.A. de C.V. Overseas,periodic,stable
Portuguese Cuttle GmbH Freight ,Water Wonders Tidepool Ltd Holdings,2031-01,36,94,-54;3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology;3 Trawler Corp Distribution,stable,stable
Seashell s  SRL Consulting,Fresh Limited Liability Company,2029-12,49,91,-1791;-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit,stable,stable
Gulf of Guinea   Corporation,Zambezi Gorge  N.V. Transport,2032-10,15,88,-13796;9 Seaport SE Carriers;Adriatic  Nautical CJSC Holdings;Adriatic Tuna Seabass BV Transit,general,stable
Portuguese Cuttle GmbH Freight ,Coastal Cruisers GmbH Logistics,2031-01,36,88,-4;-54;3 Oceanography ОАО Marine life;3 Seabreeze Corporation Marine ecology,stable,stable
Seashell s  SRL Consulting,Zambezi Gorge  N.V. Transport,2029-12,49,88,-1791;-54;3 Oceanography ОАО Marine life;Adriatic Tuna Seabass BV Transit,stable,stable
