company,total_links,active_months,max_monthly_count,avg_monthly_count,partner_count,hscode_count,fish_hscode_ratio,total_weightkg,total_value_omu,isolation_label,anomaly_score,dbscan_cluster,hierarchical_cluster,hierarchical_subcluster,hierarchical_microcluster,cluster_path,cluster_path_3,business_mode,nearest_company,nearest_similarity
hǎi dǎn Corporation Wharf,456641,84,6858,5436.2024,5931,3517,0.1266,12341093500.0,36247925.0,anomaly,1.0,-1,7,0,0,C7-S0,C7-S0-T0,diversified_broker,Caracola del Sol Services,0.9354
Mar del Este CJSC,127910,84,2036,1522.7381,2865,1460,0.4996,7846359705.0,24742445.0,anomaly,0.9299,-1,0,0,1,C0-S0,C0-S0-T1,fish_intensive_hub,Selous Game Reserve  S.A. de C.V.,0.9621
Caracola del Sol Services,193094,84,3541,2298.7381,3667,2594,0.266,4845630370.0,3016505.0,anomaly,0.912,-1,0,0,0,C0-S0,C0-S0-T0,fish_network_expander,Costa de la Felicidad Shipping,0.9974
Sailors and Surfers Incorporated Enterprises,106612,84,1953,1269.1905,2704,2331,0.092,10981166120.0,8203480.0,anomaly,0.8908,-1,0,0,1,C0-S0,C0-S0-T1,diversified_broker,Olas del Mar Worldwide,0.9516
Costa de la Felicidad Shipping,163703,84,3406,1948.8452,2925,2446,0.1914,3908376805.0,2155025.0,anomaly,0.8847,-1,0,0,0,C0-S0,C0-S0-T0,diversified_broker,Caracola del Sol Services,0.9974
Panope Limited Liability Company,168872,84,6209,2010.381,892,1911,0.0255,3732377865.0,11908560.0,anomaly,0.8846,-1,0,0,0,C0-S0,C0-S0-T0,high_volume_distributor,Saltwater Supreme ОАО Forwading,0.9873
Saltwater Supreme ОАО Forwading,189446,84,5725,2255.3095,1675,1846,0.0247,2436297655.0,12083410.0,anomaly,0.8825,-1,0,0,0,C0-S0,C0-S0-T0,high_volume_distributor,Panope Limited Liability Company,0.9873
Fresh Limited Liability Company,153405,84,2668,1826.25,4038,2234,0.0015,1604626690.0,0.0,anomaly,0.8439,-1,0,0,0,C0-S0,C0-S0-T0,diversified_broker,Barents Sea Cod CJSC Export,0.9885
Selous Game Reserve  S.A. de C.V.,64634,84,1170,769.4524,2000,1722,0.204,5035395385.0,22884615.0,anomaly,0.8195,-1,0,0,1,C0-S0,C0-S0-T1,fish_network_expander,Mar del Este CJSC,0.9621
Pao gan SE Seal,96423,84,1688,1147.8929,2174,1936,0.3736,2912555580.0,2819520.0,anomaly,0.8185,-1,0,1,0,C0-S1,C0-S1-T0,fish_intensive_hub,Coral Cove BV Delivery,0.9868
Coral Cove BV Delivery,104399,84,2262,1242.8452,2076,2023,0.0455,2180108890.0,4306735.0,anomaly,0.8017,-1,0,1,0,C0-S1,C0-S1-T0,high_volume_distributor,Costa de la Felicidad Shipping,0.9882
Chhattisgarh   Marine ecology A/S Delivery,143612,84,2394,1709.6667,2069,1721,0.0005,526478170.0,0.0,anomaly,0.7933,-1,0,1,0,C0-S1,C0-S1-T0,high_volume_distributor,Costa de la Felicidad Shipping,0.9744
Sea Breezes GmbH & Co. KG Shark,75256,84,3256,895.9048,532,1055,0.0345,1193315595.0,10387770.0,anomaly,0.7462,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Panope Limited Liability Company,0.9733
Uttar Pradesh s CJSC,117494,84,4710,1398.7381,395,1203,0.0004,1337542760.0,0.0,anomaly,0.7304,-1,0,1,1,C0-S1,C0-S1-T1,high_volume_distributor,Marine Masterminds Dry dock,0.9917
Olas del Mar Worldwide,43259,84,713,514.9881,1288,1391,0.0562,8567629770.0,7439530.0,anomaly,0.7281,-1,3,0,0,C3-S0,C3-S0-T0,general_trader,Sailors and Surfers Incorporated Enterprises,0.9516
bǐ mù yú Sagl Distribution,90872,84,4975,1081.8095,722,1224,0.023,1760566550.0,0.0,anomaly,0.7194,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Uttar Pradesh s CJSC,0.9851
French Crab S.p.A. Worldwide,99925,84,2732,1189.5833,606,398,0.0,704652150.0,0.0,anomaly,0.7098,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Uttar Pradesh s CJSC,0.9609
Oceanic Explorers Sashimi Inc Solutions,92789,76,1921,1220.9079,53,1359,0.0005,57737695.0,1454890.0,anomaly,0.7083,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Coastal Cruisers Pic Shipping,0.9688
Océano de Coral Corporation Express,42796,84,1125,509.4762,1736,1825,0.0903,1484429360.0,8516355.0,anomaly,0.6859,-1,0,1,0,C0-S1,C0-S1-T0,general_trader,Fisherman's Best Marine conservation,0.9754
Zambezi Gorge  N.V. Transport,66576,84,1207,792.5714,2468,1591,0.0005,587163550.0,0.0,anomaly,0.6829,-1,0,1,0,C0-S1,C0-S1-T0,diversified_broker,Kong zhong diao yu  Ges.m.b.H.,0.9824
Mar y Luna Sagl,77702,84,2437,925.0238,582,1543,0.0003,1760352245.0,0.0,anomaly,0.6743,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Saltwater Symphony S.A. de C.V.,0.9893
Kong zhong diao yu  Ges.m.b.H.,51637,84,1067,614.7262,1776,1573,0.251,1106282745.0,487100.0,anomaly,0.6686,-1,0,1,0,C0-S1,C0-S1-T0,fish_network_expander,Pao gan LC Freight ,0.9962
Marine Masterminds Dry dock,75138,84,3370,894.5,168,618,0.0001,682764400.0,0.0,anomaly,0.6405,-1,0,1,1,C0-S1,C0-S1-T1,general_trader,Uttar Pradesh s CJSC,0.9917
Arunachal Pradesh s A/S Transport,61178,84,1138,728.3095,1475,1661,0.0006,189984075.0,0.0,anomaly,0.6348,-1,0,1,0,C0-S1,C0-S1-T0,general_trader,Pao gan LC Freight ,0.9805
Arunachal Pradesh s Brine,29658,84,512,353.0714,918,1159,0.2724,6551452915.0,289075.0,anomaly,0.6293,-1,3,0,0,C3-S0,C3-S0-T0,general_trader,Haryana s Sagl Transport,0.981
Caracola del Este Corporation Express,68872,84,1615,819.9048,1166,1392,0.0012,1061524545.0,0.0,anomaly,0.6287,-1,4,0,0,C4-S0,C4-S0-T0,general_trader,Costa de la Felicidad Shipping,0.9816
