company,total_links,active_months,max_monthly_count,avg_monthly_count,activity_cv,partner_count,hscode_count,fish_hscode_ratio,total_weightkg,total_value_omu,q1_temporal_pattern,q1_pattern_risk,revival_score,dormancy_months,dormancy_weight,has_extended_months,q1_inconsistent,bridge_scope,is_relay_successor,business_mode,isolation_label,anomaly_score,dbscan_cluster,hierarchical_cluster,hierarchical_subcluster,hierarchical_microcluster,cluster_path,cluster_path_3,nearest_company,nearest_similarity,bridge_link_count,bridge_partner_sample,relay_predecessors,sig_iso_anomaly,sig_revival,sig_dormancy,sig_q1_inconsistent,sig_q1_risk,sig_bridge,sig_relay,sig_fish,composite_score,signal_count,confidence_tier,evidence_chain
-49,2,1,2,2.0,0.0,1,1,0.0,395.0,0.0,short_term,3,72.0,61,5.0,1,1,227,0,dormant_revival,anomaly,0.805,-1,7,0,0,C7-S0,C7-S0-T0,-43,0.9882,1,xiǎo lóng xiā LC,,0.805,0.72,0.935,1.0,1.0,0.578,0.0,0.0,0.7593,6,HIGH,"IsolationForest anomaly (score=0.81) | dormant 61mo then revived (revival_score=72), Q1 pattern=short_term | business_mode=dormant_revival"
-60,1,1,1,1.0,0.0,1,1,1.0,78170.0,0.0,short_term,3,51.0,74,5.0,1,1,1164,0,dormant_revival,anomaly,0.8089,-1,7,1,0,C7-S1,C7-S1-T0,-48,0.9959,1,Caracola del Este Corporation Express,,0.8089,0.51,0.9707,1.0,1.0,0.7517,0.0,1.0,0.7505,7,HIGH,"IsolationForest anomaly (score=0.81) | dormant 74mo then revived (revival_score=51), Q1 pattern=short_term | structural bridge: 1,164 nodes newly reachable via 1 new link(s) | fish HS code ratio=100.0% | business_mode=dormant_revival"
-50,1,1,1,1.0,0.0,1,1,1.0,18700.0,0.0,short_term,3,51.0,61,5.0,1,1,774,0,dormant_revival,anomaly,0.7978,5,7,1,1,C7-S1,C7-S1-T1,-48,0.9991,1,Maharashtra ers Incorporated Express,,0.7978,0.51,0.935,1.0,1.0,0.7083,0.0,1.0,0.738,7,HIGH,"IsolationForest anomaly (score=0.80) | dormant 61mo then revived (revival_score=51), Q1 pattern=short_term | structural bridge: 774 nodes newly reachable via 1 new link(s) | fish HS code ratio=100.0% | business_mode=dormant_revival"
-40,1,1,1,1.0,0.0,1,1,1.0,18655.0,0.0,short_term,3,69.0,42,4.5,1,1,126,0,dormant_revival,anomaly,0.7465,-1,7,0,0,C7-S0,C7-S0-T0,-38,0.9874,2,Arunachal Pradesh s &;Sander Ltd. Corporation Leska,,0.7465,0.69,0.7733,1.0,1.0,0.5157,0.0,1.0,0.7267,7,HIGH,"IsolationForest anomaly (score=0.75) | dormant 42mo then revived (revival_score=69), Q1 pattern=short_term | fish HS code ratio=100.0% | business_mode=dormant_revival"
-58,1,1,1,1.0,0.0,1,1,0.0,355.0,0.0,short_term,3,51.0,76,5.0,1,1,775,0,dormant_revival,anomaly,0.8057,4,7,1,0,C7-S1,C7-S1-T0,-61,0.9982,1,Maharashtra ers Incorporated Express,,0.8057,0.51,0.9707,1.0,1.0,0.7084,0.0,0.0,0.7254,6,HIGH,"IsolationForest anomaly (score=0.81) | dormant 76mo then revived (revival_score=51), Q1 pattern=short_term | structural bridge: 775 nodes newly reachable via 1 new link(s) | business_mode=dormant_revival"
-48,1,1,1,1.0,0.0,1,1,1.0,5410.0,0.0,short_term,3,51.0,64,5.0,1,1,179,0,dormant_revival,anomaly,0.7818,5,7,1,1,C7-S1,C7-S1-T1,-50,0.9991,1,Danish Shrimp Kga Solutions,,0.7818,0.51,0.9475,1.0,1.0,0.5529,0.0,1.0,0.7204,7,HIGH,"IsolationForest anomaly (score=0.78) | dormant 64mo then revived (revival_score=51), Q1 pattern=short_term | fish HS code ratio=100.0% | business_mode=dormant_revival"
-52,1,1,1,1.0,0.0,1,1,0.0,1550.0,0.0,short_term,3,51.0,62,5.0,1,1,487,0,dormant_revival,anomaly,0.7843,4,7,1,0,C7-S1,C7-S1-T0,-55,0.9998,1,Selous Game Reserve  A/S,,0.7843,0.51,0.9395,1.0,1.0,0.6591,0.0,0.0,0.7104,6,HIGH,"IsolationForest anomaly (score=0.78) | dormant 62mo then revived (revival_score=51), Q1 pattern=short_term | business_mode=dormant_revival"
-36,1,1,1,1.0,0.0,1,1,1.0,8110.0,0.0,short_term,3,48.8,39,4.25,1,1,1164,0,dormant_revival,anomaly,0.7769,-1,7,0,0,C7-S0,C7-S0-T0,-38,0.9969,1,Caracola del Este Corporation Express,,0.7769,0.488,0.7311,1.0,1.0,0.7517,0.0,1.0,0.7011,7,HIGH,"IsolationForest anomaly (score=0.78) | dormant 39mo then revived (revival_score=49), Q1 pattern=short_term | structural bridge: 1,164 nodes newly reachable via 1 new link(s) | fish HS code ratio=100.0% | business_mode=dormant_revival"
-55,1,1,1,1.0,0.0,1,1,0.0,6710.0,0.0,short_term,3,51.0,60,5.0,1,1,237,0,dormant_revival,anomaly,0.7804,4,7,1,0,C7-S1,C7-S1-T0,-56,1.0,1,French Crab Pic Marine conservation,,0.7804,0.51,0.9303,1.0,1.0,0.5826,0.0,0.0,0.7004,6,HIGH,"IsolationForest anomaly (score=0.78) | dormant 60mo then revived (revival_score=51), Q1 pattern=short_term | business_mode=dormant_revival"
-42,1,1,1,1.0,0.0,1,1,1.0,14820.0,0.0,short_term,3,51.0,55,5.0,1,1,52,0,dormant_revival,anomaly,0.7657,5,7,1,1,C7-S1,C7-S1-T1,-51,1.0,1,Estrella del Mar Forwading,,0.7657,0.51,0.9013,1.0,1.0,0.4227,0.0,1.0,0.6964,7,HIGH,"IsolationForest anomaly (score=0.77) | dormant 55mo then revived (revival_score=51), Q1 pattern=short_term | fish HS code ratio=100.0% | business_mode=dormant_revival"
